#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.94e+01    1.73e+01      1.19e+00    7.44e-01      6.12e-01    5.48e-01    1.0e-03
   1000      1.15e+01    1.37e+01      1.94e-01    5.53e-02      3.64e-01    4.33e-01    1.0e-03
   2000      1.84e+01    2.80e+01      1.61e-01    1.04e-01      5.81e-01    8.86e-01    1.0e-03
   3000      1.25e+01    5.62e+00      2.71e-01    5.01e-02      3.95e-01    1.78e-01    1.0e-03
   4000      1.36e+01    5.81e+00      6.75e-02    3.29e-02      4.31e-01    1.84e-01    1.0e-03
   5000      1.05e+01    4.82e+00      8.88e-02    1.14e-01      3.33e-01    1.53e-01    9.9e-04
   6000      9.62e+00    6.46e+00      8.44e-02    9.34e-02      3.05e-01    2.05e-01    9.9e-04
   7000      1.55e+01    5.01e+00      2.52e-01    7.13e-02      4.92e-01    1.59e-01    9.9e-04
   8000      7.08e+00    2.27e+01      1.92e-01    2.18e-01      2.25e-01    7.22e-01    9.9e-04
   9000      9.28e+00    2.98e+00      1.34e-01    9.26e-02      2.95e-01    9.44e-02    9.9e-04
  10000      6.02e+00    1.12e+01      8.67e-02    9.90e-02      1.92e-01    3.58e-01    9.8e-04
  11000      1.03e+01    3.96e+00      1.37e-01    4.51e-02      3.29e-01    1.26e-01    9.8e-04
  12000      7.90e+00    6.85e+00      4.70e-02    8.38e-02      2.52e-01    2.19e-01    9.8e-04
  13000      8.15e+00    1.38e+01      2.49e-02    1.70e-02      2.60e-01    4.40e-01    9.8e-04
  14000      1.25e+01    1.02e+01      7.03e-02    2.15e-02      3.97e-01    3.24e-01    9.8e-04
  15000      5.79e+00    6.84e+00      5.30e-02    3.55e-03      1.86e-01    2.19e-01    9.7e-04
  16000      5.89e+00    3.31e+00      7.66e-02    2.01e-03      1.89e-01    1.06e-01    9.7e-04
  17000      9.04e+00    5.99e+00      7.48e-02    5.18e-02      2.90e-01    1.92e-01    9.7e-04
  18000      7.00e+00    1.11e+01      7.31e-02    2.91e-01      2.24e-01    3.56e-01    9.7e-04
  19000      1.32e+01    1.89e+01      9.48e-02    6.89e-02      4.23e-01    6.07e-01    9.7e-04
  20000      7.12e+00    2.17e+00      7.55e-02    9.58e-02      2.29e-01    6.95e-02    9.6e-04
  21000      4.94e+00    9.02e+00      3.36e-02    3.12e-01      1.59e-01    2.90e-01    9.6e-04
  22000      7.19e+00    1.77e+01      5.31e-02    2.93e-02      2.32e-01    5.70e-01    9.6e-04
  23000      4.92e+00    2.23e+00      4.22e-02    1.37e-02      1.58e-01    7.18e-02    9.6e-04
  24000      3.91e+00    5.92e+00      6.59e-02    1.53e-01      1.26e-01    1.91e-01    9.6e-04
  25000      1.40e+01    1.31e+00      1.99e-01    3.48e-02      4.53e-01    4.25e-02    9.5e-04
  26000      5.94e+00    7.66e+00      5.48e-02    3.77e-02      1.92e-01    2.48e-01    9.5e-04
  27000      1.89e+01    1.90e+00      9.25e-02    4.97e-03      6.13e-01    6.16e-02    9.5e-04
  28000      6.50e+00    2.51e+00      6.14e-02    1.03e-02      2.10e-01    8.13e-02    9.5e-04
